dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
test,1,0,22406,22406,53560,53,7,655,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,54,7,615,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,54,7,615,6.5,4,3,2,-193.47981160834325,31,-139.0,165.0,304.0,0.5427631578947368,183.0,0.4838709677419355,-4.483870967741935,19.0,4
train,1,0,22406,22406,53560,55,7,669,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,55,7,669,6.25,4,3,2,-224.0379432149831,33,-117.0,187.0,304.0,0.6151315789473685,161.0,0.5151515151515151,-3.5454545454545454,19.0,3
train,1,0,22406,22406,53560,56,7,722,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,56,7,722,6.25,4,3,2,-224.0379432149831,33,-117.0,187.0,304.0,0.6151315789473685,161.0,0.5151515151515151,-3.5454545454545454,19.0,3
train,1,0,22406,22406,53560,57,7,633,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,57,7,633,6.5,4,3,2,-193.47981160834325,31,-139.0,165.0,304.0,0.5427631578947368,183.0,0.4838709677419355,-4.483870967741935,19.0,4
train,1,0,22406,22406,53560,58,7,664,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,58,7,664,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,59,7,615,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,59,7,615,6.25,4,3,2,-202.29543851615745,31,-109.0,176.0,285.0,0.6175438596491228,153.0,0.5161290322580645,-3.5161290322580645,19.0,3
train,1,0,22406,22406,53560,60,7,615,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,60,7,615,6.5,4,3,2,-193.47981160834325,31,-139.0,165.0,304.0,0.5427631578947368,183.0,0.4838709677419355,-4.483870967741935,19.0,4
train,1,0,22406,22406,53560,61,7,671,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,61,7,671,6.25,4,3,2,-224.0379432149831,33,-117.0,187.0,304.0,0.6151315789473685,161.0,0.5151515151515151,-3.5454545454545454,19.0,3
train,1,0,22406,22406,53560,62,7,715,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,62,7,715,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,63,7,615,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,63,7,615,6.5,4,3,2,-193.47981160834325,31,-139.0,165.0,304.0,0.5427631578947368,183.0,0.4838709677419355,-4.483870967741935,19.0,4
train,1,0,22406,22406,53560,64,7,715,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,64,7,715,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,65,7,615,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,65,7,615,6.25,4,3,2,-202.29543851615745,31,-109.0,176.0,285.0,0.6175438596491228,153.0,0.5161290322580645,-3.5161290322580645,19.0,3
train,1,0,22406,22406,53560,66,7,519,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,66,7,519,6.5,4,3,2,-85.40857685267915,26,-134.0,132.0,266.0,0.49624060150375937,178.0,0.46153846153846156,-5.153846153846154,19.0,8
train,1,0,22406,22406,53560,67,7,651,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,67,7,651,6.25,4,3,2,-224.0379432149831,33,-117.0,187.0,304.0,0.6151315789473685,161.0,0.5151515151515151,-3.5454545454545454,19.0,3
train,1,0,22406,22406,53560,68,7,519,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,68,7,519,6.25,4,3,2,-106.05960588272993,26,-104.0,143.0,247.0,0.5789473684210527,148.0,0.5,-4.0,19.0,5
train,1,0,22406,22406,53560,69,7,519,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,69,7,519,6.25,4,3,2,-106.05960588272993,26,-104.0,143.0,247.0,0.5789473684210527,148.0,0.5,-4.0,19.0,5
train,1,0,22406,22406,53560,70,7,519,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,70,7,519,6.5,4,3,2,-85.40857685267915,26,-134.0,132.0,266.0,0.49624060150375937,178.0,0.46153846153846156,-5.153846153846154,19.0,8
train,1,0,22406,22406,53560,71,7,519,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,71,7,519,6.5,4,3,2,-85.40857685267915,26,-134.0,132.0,266.0,0.49624060150375937,178.0,0.46153846153846156,-5.153846153846154,19.0,8
train,1,0,22406,22406,53560,72,7,662,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,72,7,662,6.25,4,3,2,-224.0379432149831,33,-117.0,187.0,304.0,0.6151315789473685,161.0,0.5151515151515151,-3.5454545454545454,19.0,3
train,1,0,22406,22406,53560,73,7,615,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,73,7,615,6.25,4,3,2,-202.29543851615745,31,-109.0,176.0,285.0,0.6175438596491228,153.0,0.5161290322580645,-3.5161290322580645,19.0,3
train,1,0,22406,22406,53560,74,7,662,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,74,7,662,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,75,7,662,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,75,7,662,6.25,4,3,2,-224.0379432149831,33,-117.0,187.0,304.0,0.6151315789473685,161.0,0.5151515151515151,-3.5454545454545454,19.0,3
train,1,0,22406,22406,53560,76,7,615,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,76,7,615,6.25,4,3,2,-202.29543851615745,31,-109.0,176.0,285.0,0.6175438596491228,153.0,0.5161290322580645,-3.5161290322580645,19.0,3
train,1,0,22406,22406,53560,77,7,645,6.0,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
