max_drawdown,net_profit,number_of_trades,win_rate,expectancy,gross_profit,gross_loss,profit_factor,recovery_factor,longest_losing_streak,simulation_id
261.0,360.0,135,0.32592592592592595,2.6666666666666665,2089.0,1729.0,1.208212839791787,1.3793103448275863,8,97
502.0,-55.0,135,0.25925925925925924,-0.4074074074074074,1845.0,1900.0,0.9710526315789474,-0.10956175298804781,12,98
353.0,530.0,135,0.31851851851851853,3.925925925925926,2278.0,1748.0,1.303203661327231,1.501416430594901,10,99
449.0,-30.0,135,0.28888888888888886,-0.2222222222222222,1794.0,1824.0,0.9835526315789473,-0.066815144766147,20,100
712.0,-480.0,135,0.22962962962962963,-3.5555555555555554,1496.0,1976.0,0.757085020242915,-0.6741573033707865,14,101
282.0,375.0,135,0.28888888888888886,2.7777777777777777,2199.0,1824.0,1.205592105263158,1.3297872340425532,9,102
206.0,275.0,135,0.3111111111111111,2.037037037037037,2042.0,1767.0,1.155631013016412,1.3349514563106797,10,103
374.0,110.0,135,0.2962962962962963,0.8148148148148148,1915.0,1805.0,1.0609418282548477,0.29411764705882354,14,104
242.0,455.0,135,0.3111111111111111,3.3703703703703702,2222.0,1767.0,1.257498585172609,1.8801652892561984,8,105
228.0,395.0,135,0.3037037037037037,2.925925925925926,2181.0,1786.0,1.2211646136618142,1.7324561403508771,12,106
306.0,425.0,135,0.32592592592592595,3.1481481481481484,2154.0,1729.0,1.2458068247541931,1.3888888888888888,10,107
408.0,105.0,135,0.2518518518518518,0.7777777777777778,2024.0,1919.0,1.0547159979155811,0.25735294117647056,12,108
360.0,15.0,135,0.2814814814814815,0.1111111111111111,1858.0,1843.0,1.0081389039609332,0.041666666666666664,12,109
550.0,-365.0,135,0.25925925925925924,-2.7037037037037037,1535.0,1900.0,0.8078947368421052,-0.6636363636363637,8,110
535.0,-240.0,135,0.26666666666666666,-1.7777777777777777,1641.0,1881.0,0.8724082934609251,-0.4485981308411215,15,111
553.0,-65.0,135,0.2740740740740741,-0.48148148148148145,1797.0,1862.0,0.9650912996777659,-0.11754068716094032,13,112
536.0,-140.0,135,0.2814814814814815,-1.037037037037037,1703.0,1843.0,0.9240368963646229,-0.26119402985074625,7,113
390.0,-115.0,135,0.24444444444444444,-0.8518518518518519,1823.0,1938.0,0.9406604747162023,-0.2948717948717949,10,114
282.0,205.0,135,0.32592592592592595,1.5185185185185186,1934.0,1729.0,1.1185656448814343,0.7269503546099291,12,115
1056.0,-785.0,135,0.2,-5.814814814814815,1267.0,2052.0,0.6174463937621832,-0.7433712121212122,23,116
277.0,725.0,135,0.32592592592592595,5.37037037037037,2454.0,1729.0,1.4193175245806824,2.6173285198555956,9,117
233.0,545.0,135,0.3111111111111111,4.037037037037037,2312.0,1767.0,1.3084323712507073,2.3390557939914163,12,118
598.0,-215.0,135,0.23703703703703705,-1.5925925925925926,1742.0,1957.0,0.8901379662749106,-0.3595317725752508,15,119
256.0,255.0,135,0.3111111111111111,1.8888888888888888,2022.0,1767.0,1.1443123938879456,0.99609375,8,120
430.0,65.0,135,0.2740740740740741,0.48148148148148145,1927.0,1862.0,1.0349087003222341,0.1511627906976744,9,121
257.0,420.0,135,0.2962962962962963,3.111111111111111,2225.0,1805.0,1.2326869806094183,1.6342412451361867,10,122
490.0,-170.0,135,0.2518518518518518,-1.2592592592592593,1749.0,1919.0,0.9114121938509641,-0.3469387755102041,15,123
371.0,40.0,135,0.26666666666666666,0.2962962962962963,1921.0,1881.0,1.021265284423179,0.1078167115902965,13,124
326.0,645.0,135,0.34074074074074073,4.777777777777778,2336.0,1691.0,1.3814311058545239,1.978527607361963,13,125
535.0,-205.0,135,0.22962962962962963,-1.5185185185185186,1771.0,1976.0,0.896255060728745,-0.38317757009345793,23,126
228.0,840.0,135,0.31851851851851853,6.222222222222222,2588.0,1748.0,1.4805491990846682,3.6842105263157894,12,127
875.0,-545.0,135,0.21481481481481482,-4.037037037037037,1469.0,2014.0,0.7293942403177756,-0.6228571428571429,20,128
362.0,-130.0,135,0.2740740740740741,-0.9629629629629629,1732.0,1862.0,0.9301825993555317,-0.35911602209944754,13,129
504.0,-190.0,135,0.2222222222222222,-1.4074074074074074,1805.0,1995.0,0.9047619047619048,-0.376984126984127,21,130
215.0,640.0,135,0.3111111111111111,4.7407407407407405,2407.0,1767.0,1.3621958121109226,2.9767441860465116,9,131
794.0,-375.0,135,0.23703703703703705,-2.7777777777777777,1582.0,1957.0,0.8083801737353091,-0.4722921914357683,15,132
398.0,100.0,135,0.26666666666666666,0.7407407407407407,1981.0,1881.0,1.0531632110579479,0.25125628140703515,12,133
