dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,analysis_generation,selected_generation
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,28,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,28,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,29,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,29,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,30,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,30,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,31,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,31,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,32,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,32,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,33,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,33,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,34,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,34,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,35,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,35,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,36,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,36,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,37,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,37,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,38,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,38,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,39,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,39,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,40,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,40,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,41,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,41,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,42,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,42,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,43,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,43,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,44,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,44,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,45,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,45,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,46,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,46,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,47,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,47,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,48,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,48,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,49,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,49,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,50,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,50,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,51,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,51,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,52,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,52,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,53,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,53,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,54,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,54,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,55,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,55,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,56,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,56,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,57,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,57,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,58,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,58,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,59,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,59,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,60,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,60,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,61,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,61,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,62,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,62,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,63,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,63,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,64,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,64,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,65,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,65,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,66,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,66,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,67,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,67,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,68,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,68,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,69,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,69,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,70,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,70,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,71,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,71,24
