dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
test,1,0,22406,22406,53560,26,8,3435,7.25,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,27,8,2509,6.75,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,27,8,2509,6.75,8,30,23,-620.0,5,-620.0,0.0,620.0,0.0,620.0,0.0,-124.0,124.0,5
train,1,0,22406,22406,53560,28,8,2509,7.5,8,30,26,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,28,8,2509,7.5,8,30,26,-417.0,3,-417.0,0.0,417.0,0.0,417.0,0.0,-139.0,139.0,3
train,1,0,22406,22406,53560,29,8,3284,7.0,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,29,8,3284,7.0,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,30,8,3195,7.0,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,30,8,3195,7.0,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,31,8,2449,6.75,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,31,8,2449,6.75,8,30,22,-595.0,5,-595.0,0.0,595.0,0.0,595.0,0.0,-119.0,119.0,5
train,1,0,22406,22406,53560,32,9,3114,7.0,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,32,9,3114,7.0,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,33,9,3195,7.75,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,33,9,3195,7.75,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,34,10,2509,7.25,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,34,10,2509,7.25,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,35,8,2509,7.25,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,35,8,2509,7.25,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,36,9,3195,7.5,8,30,24,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,36,9,3195,7.5,8,30,24,-387.0,3,-387.0,0.0,387.0,0.0,387.0,0.0,-129.0,129.0,3
train,1,0,22406,22406,53560,37,8,2509,7.0,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,37,8,2509,7.0,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,38,9,2509,7.75,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,38,9,2509,7.75,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,39,8,250,7.0,8,30,24,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,39,8,250,7.0,8,30,24,-129.0,1,-129.0,0.0,129.0,0.0,129.0,0.0,-129.0,129.0,1
train,1,0,22406,22406,53560,40,8,2509,7.75,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,40,8,2509,7.75,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,41,8,278,7.0,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,41,8,278,7.0,8,30,22,-119.0,1,-119.0,0.0,119.0,0.0,119.0,0.0,-119.0,119.0,1
train,1,0,22406,22406,53560,42,9,2509,7.0,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,42,9,2509,7.0,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,43,8,2333,7.5,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,43,8,2333,7.5,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,44,9,3195,7.25,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,44,9,3195,7.25,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,45,8,2333,6.75,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,45,8,2333,6.75,8,30,23,-620.0,5,-620.0,0.0,620.0,0.0,620.0,0.0,-124.0,124.0,5
train,1,0,22406,22406,53560,46,8,2509,7.75,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,46,8,2509,7.75,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,47,9,2483,6.75,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,47,9,2483,6.75,8,30,22,-595.0,5,-595.0,0.0,595.0,0.0,595.0,0.0,-119.0,119.0,5
train,1,0,22406,22406,53560,48,8,2634,7.75,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,48,8,2634,7.75,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,49,8,2308,7.25,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,49,8,2308,7.25,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,50,8,2709,7.25,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,50,8,2709,7.25,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,51,9,2483,7.25,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,51,9,2483,7.25,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,52,8,2509,7.0,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,52,8,2509,7.0,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
