dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
test,1,0,86986,86986,125287,29,14,3907,5.75,4,19,2,1210.5,9,269.0,364.0,95.0,3.831578947368421,38.0,0.4444444444444444,29.88888888888889,19.0,2
train,1,0,86986,86986,125287,30,14,3852,9.25,6,19,2,525.4759747124506,5,235.0,273.0,38.0,7.184210526315789,19.0,0.6,47.0,19.0,1
test,1,0,86986,86986,125287,30,14,3852,9.25,6,19,2,138.10821843757162,7,87.0,182.0,95.0,1.9157894736842105,95.0,0.2857142857142857,12.428571428571429,19.0,5
train,1,0,86986,86986,125287,31,14,3341,5.75,5,19,2,525.4759747124506,5,235.0,273.0,38.0,7.184210526315789,19.0,0.6,47.0,19.0,1
test,1,0,86986,86986,125287,31,14,3341,5.75,5,19,2,1210.5,9,269.0,364.0,95.0,3.831578947368421,38.0,0.4444444444444444,29.88888888888889,19.0,2
train,1,0,86986,86986,125287,32,14,3217,5.75,4,19,2,525.4759747124506,5,235.0,273.0,38.0,7.184210526315789,19.0,0.6,47.0,19.0,1
test,1,0,86986,86986,125287,32,14,3217,5.75,4,19,2,1210.5,9,269.0,364.0,95.0,3.831578947368421,38.0,0.4444444444444444,29.88888888888889,19.0,2
train,1,0,86986,86986,125287,33,14,3341,6.0,5,19,2,525.4759747124506,5,235.0,273.0,38.0,7.184210526315789,19.0,0.6,47.0,19.0,1
test,1,0,86986,86986,125287,33,14,3341,6.0,5,19,2,1210.5,9,269.0,364.0,95.0,3.831578947368421,38.0,0.4444444444444444,29.88888888888889,19.0,2
train,1,0,86986,86986,125287,34,14,3234,6.0,6,19,2,525.4759747124506,5,235.0,273.0,38.0,7.184210526315789,19.0,0.6,47.0,19.0,1
test,1,0,86986,86986,125287,34,14,3234,6.0,6,19,2,1210.5,9,269.0,364.0,95.0,3.831578947368421,38.0,0.4444444444444444,29.88888888888889,19.0,2
train,1,0,86986,86986,125287,35,13,3502,5.75,7,19,2,529.0897844411664,6,216.0,273.0,57.0,4.7894736842105265,19.0,0.5,36.0,19.0,1
test,1,0,86986,86986,125287,35,13,3502,5.75,7,19,2,347.93569808227494,13,193.0,364.0,171.0,2.128654970760234,114.0,0.3076923076923077,14.846153846153847,19.0,6
train,1,0,86986,86986,125287,36,13,3217,5.75,7,19,2,529.0897844411664,6,216.0,273.0,57.0,4.7894736842105265,19.0,0.5,36.0,19.0,1
test,1,0,86986,86986,125287,36,13,3217,5.75,7,19,2,347.93569808227494,13,193.0,364.0,171.0,2.128654970760234,114.0,0.3076923076923077,14.846153846153847,19.0,6
train,1,0,86986,86986,125287,37,13,3912,5.75,7,19,2,529.0897844411664,6,216.0,273.0,57.0,4.7894736842105265,19.0,0.5,36.0,19.0,1
test,1,0,86986,86986,125287,37,13,3912,5.75,7,19,2,347.93569808227494,13,193.0,364.0,171.0,2.128654970760234,114.0,0.3076923076923077,14.846153846153847,19.0,6
train,1,0,86986,86986,125287,38,13,2961,5.75,7,19,2,529.0897844411664,6,216.0,273.0,57.0,4.7894736842105265,19.0,0.5,36.0,19.0,1
test,1,0,86986,86986,125287,38,13,2961,5.75,7,19,2,347.93569808227494,13,193.0,364.0,171.0,2.128654970760234,114.0,0.3076923076923077,14.846153846153847,19.0,6
