generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter,walk_forward_type,fitness_function,train_size,repetition
92,1,0,53560,53560,86986,424.2384235309197,404.9871903238901,424.2384235309197,83.8111302605779,67.11755049885518,340.4272932703418,31,rolling,losing_streak_fitness,2_days,rep_1
93,1,0,53560,53560,86986,424.2384235309197,405.7224036675884,424.2384235309197,95.88367952889584,63.10886195998463,328.35474400202384,32,rolling,losing_streak_fitness,2_days,rep_1
94,1,0,53560,53560,86986,424.2384235309197,387.9163992114416,424.2384235309197,95.88367952889584,85.96245964084738,328.35474400202384,33,rolling,losing_streak_fitness,2_days,rep_1
95,1,0,53560,53560,86986,424.2384235309197,384.0777436182857,424.2384235309197,95.88367952889584,90.20759939827975,328.35474400202384,34,rolling,losing_streak_fitness,2_days,rep_1
96,1,0,53560,53560,86986,424.2384235309197,391.1412163982805,424.2384235309197,95.88367952889584,84.34674020091637,328.35474400202384,35,rolling,losing_streak_fitness,2_days,rep_1
97,1,0,53560,53560,86986,424.2384235309197,399.6865318839614,424.2384235309197,95.88367952889584,69.49799823933678,328.35474400202384,36,rolling,losing_streak_fitness,2_days,rep_1
98,1,0,53560,53560,86986,424.2384235309197,394.6075670155603,424.2384235309197,95.88367952889584,81.4124135247843,328.35474400202384,37,rolling,losing_streak_fitness,2_days,rep_1
99,1,0,53560,53560,86986,424.2384235309197,403.7515723352272,424.2384235309197,95.88367952889584,69.455428894078,328.35474400202384,38,rolling,losing_streak_fitness,2_days,rep_1
100,1,0,53560,53560,86986,424.2384235309197,406.8733567217649,424.2384235309197,95.88367952889584,62.55780995064983,328.35474400202384,39,rolling,losing_streak_fitness,2_days,rep_1
0,2,22406,86986,86986,125287,342.0,-5043.638247126038,-1000.0,-235279.212335578,24109.154396482267,235621.212335578,0,rolling,losing_streak_fitness,2_days,rep_1
1,2,22406,86986,86986,125287,492.34743829941874,-791.1799758262334,-350.0485019306053,-11301.180932165384,1759.250175282087,11793.528370464805,0,rolling,losing_streak_fitness,2_days,rep_1
2,2,22406,86986,86986,125287,436.033255612459,-438.5748415625731,-104.2968582609573,-12513.713241080764,1355.8038202905557,12949.746496693222,1,rolling,losing_streak_fitness,2_days,rep_1
3,2,22406,86986,86986,125287,492.34743829941874,-189.7518640394328,34.666010488516726,-6043.25953025352,746.8599751924444,6535.606968552939,2,rolling,losing_streak_fitness,2_days,rep_1
