generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter,walk_forward_type,fitness_function,train_size,repetition
56,1,0,86986,86986,125287,314.0,303.33,314.0,73.0,39.31793612348061,241.0,45,rolling,net_profit_fitness,3_days,rep_1
57,1,0,86986,86986,125287,314.0,304.84,314.0,73.0,38.34682766434783,241.0,46,rolling,net_profit_fitness,3_days,rep_1
58,1,0,86986,86986,125287,314.0,307.55,314.0,73.0,29.69997279187952,241.0,47,rolling,net_profit_fitness,3_days,rep_1
59,1,0,86986,86986,125287,314.0,299.45,314.0,73.0,49.01275344234397,241.0,48,rolling,net_profit_fitness,3_days,rep_1
60,1,0,86986,86986,125287,314.0,300.19,314.0,73.0,47.26834954477329,241.0,49,rolling,net_profit_fitness,3_days,rep_1
61,1,0,86986,86986,125287,314.0,306.08,314.0,184.0,28.335179975472613,130.0,50,rolling,net_profit_fitness,3_days,rep_1
62,1,0,86986,86986,125287,314.0,304.46,314.0,73.0,34.70028090591624,241.0,51,rolling,net_profit_fitness,3_days,rep_1
63,1,0,86986,86986,125287,314.0,301.24,314.0,73.0,46.98465685516901,241.0,52,rolling,net_profit_fitness,3_days,rep_1
64,1,0,86986,86986,125287,314.0,308.42,314.0,184.0,22.95765975473418,130.0,53,rolling,net_profit_fitness,3_days,rep_1
65,1,0,86986,86986,125287,314.0,305.48,314.0,73.0,34.330679509085684,241.0,54,rolling,net_profit_fitness,3_days,rep_1
66,1,0,86986,86986,125287,314.0,298.65,314.0,73.0,48.22597795270666,241.0,55,rolling,net_profit_fitness,3_days,rep_1
67,1,0,86986,86986,125287,314.0,301.42,314.0,73.0,36.70829042407976,241.0,56,rolling,net_profit_fitness,3_days,rep_1
68,1,0,86986,86986,125287,314.0,303.72,314.0,73.0,39.73500098188376,241.0,57,rolling,net_profit_fitness,3_days,rep_1
69,1,0,86986,86986,125287,314.0,299.97,314.0,73.0,40.09293622763909,241.0,58,rolling,net_profit_fitness,3_days,rep_1
70,1,0,86986,86986,125287,314.0,302.32,314.0,73.0,33.0285704299545,241.0,59,rolling,net_profit_fitness,3_days,rep_1
71,1,0,86986,86986,125287,314.0,304.44,314.0,184.0,29.655707883997813,130.0,60,rolling,net_profit_fitness,3_days,rep_1
72,1,0,86986,86986,125287,314.0,305.66,314.0,73.0,32.114448115727875,241.0,61,rolling,net_profit_fitness,3_days,rep_1
73,1,0,86986,86986,125287,314.0,306.85,314.0,73.0,30.30564003913823,241.0,62,rolling,net_profit_fitness,3_days,rep_1
74,1,0,86986,86986,125287,314.0,302.24,314.0,73.0,40.92592964334124,241.0,63,rolling,net_profit_fitness,3_days,rep_1
75,1,0,86986,86986,125287,314.0,305.15,314.0,73.0,35.37029941643244,241.0,64,rolling,net_profit_fitness,3_days,rep_1
76,1,0,86986,86986,125287,314.0,307.43,314.0,73.0,29.209191510325457,241.0,65,rolling,net_profit_fitness,3_days,rep_1
77,1,0,86986,86986,125287,314.0,300.89,314.0,73.0,48.66187087204598,241.0,66,rolling,net_profit_fitness,3_days,rep_1
78,1,0,86986,86986,125287,314.0,306.68,314.0,73.0,30.12964579206924,241.0,67,rolling,net_profit_fitness,3_days,rep_1
79,1,0,86986,86986,125287,314.0,307.68,314.0,184.0,23.75798855547372,130.0,68,rolling,net_profit_fitness,3_days,rep_1
80,1,0,86986,86986,125287,314.0,309.62,314.0,73.0,27.05504303333029,241.0,69,rolling,net_profit_fitness,3_days,rep_1
81,1,0,86986,86986,125287,314.0,306.41,314.0,73.0,31.39230266588717,241.0,70,rolling,net_profit_fitness,3_days,rep_1
82,1,0,86986,86986,125287,314.0,305.78,314.0,73.0,32.75917020199432,241.0,71,rolling,net_profit_fitness,3_days,rep_1
83,1,0,86986,86986,125287,314.0,305.33,314.0,73.0,33.69622314956759,241.0,72,rolling,net_profit_fitness,3_days,rep_1
84,1,0,86986,86986,125287,314.0,304.47,314.0,73.0,35.082717550199426,241.0,73,rolling,net_profit_fitness,3_days,rep_1
