dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
train,1,0,22406,22406,53560,28,7,357,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,28,7,357,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,29,7,357,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,29,7,357,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,30,7,357,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,30,7,357,6.25,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,31,7,357,6.75,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,31,7,357,6.75,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,32,7,404,6.0,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,32,7,404,6.0,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,33,7,357,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,33,7,357,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,34,7,324,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,34,7,324,6.25,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,35,7,357,6.0,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,35,7,357,6.0,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,36,7,367,6.75,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,36,7,367,6.75,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,37,7,324,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,37,7,324,6.25,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,38,7,364,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,38,7,364,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,39,7,628,6.75,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,39,7,628,6.75,4,16,2,266.0,21,266.0,532.0,266.0,2.0,76.0,0.3333333333333333,12.666666666666666,19.0,4
train,1,0,22406,22406,53560,40,7,596,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,40,7,596,6.5,4,16,2,266.0,21,266.0,532.0,266.0,2.0,76.0,0.3333333333333333,12.666666666666666,19.0,4
train,1,0,22406,22406,53560,41,7,357,6.75,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,41,7,357,6.75,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,42,7,596,6.75,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,42,7,596,6.75,4,16,2,266.0,21,266.0,532.0,266.0,2.0,76.0,0.3333333333333333,12.666666666666666,19.0,4
train,1,0,22406,22406,53560,43,7,625,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,43,7,625,6.25,4,16,2,266.0,21,266.0,532.0,266.0,2.0,76.0,0.3333333333333333,12.666666666666666,19.0,4
train,1,0,22406,22406,53560,44,7,619,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,44,7,619,6.5,4,16,2,266.0,21,266.0,532.0,266.0,2.0,76.0,0.3333333333333333,12.666666666666666,19.0,4
train,1,0,22406,22406,53560,45,7,571,6.75,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,45,7,571,6.75,4,16,2,266.0,21,266.0,532.0,266.0,2.0,76.0,0.3333333333333333,12.666666666666666,19.0,4
train,1,0,22406,22406,53560,46,7,339,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,46,7,339,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,47,7,571,6.75,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,47,7,571,6.75,4,16,2,266.0,21,266.0,532.0,266.0,2.0,76.0,0.3333333333333333,12.666666666666666,19.0,4
train,1,0,22406,22406,53560,48,7,333,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,48,7,333,6.25,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,49,7,371,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,49,7,371,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,50,7,357,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,50,7,357,6.25,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,51,7,374,7.0,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,51,7,374,7.0,4,16,2,19.0,9,19.0,152.0,133.0,1.1428571428571428,133.0,0.2222222222222222,2.111111111111111,19.0,7
train,1,0,22406,22406,53560,52,7,365,6.75,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,52,7,365,6.75,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,53,7,360,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,53,7,360,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,54,7,365,6.75,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,54,7,365,6.75,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,55,7,360,6.75,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,55,7,360,6.75,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,56,7,374,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,56,7,374,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,57,7,381,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,57,7,381,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,58,7,365,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,58,7,365,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,59,7,381,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,59,7,381,6.25,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,60,7,359,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,60,7,359,6.25,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,61,7,311,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,61,7,311,6.5,4,16,2,-57.0,13,-57.0,152.0,209.0,0.7272727272727273,209.0,0.15384615384615385,-4.384615384615385,19.0,11
train,1,0,22406,22406,53560,62,7,411,6.75,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,62,7,411,6.75,4,16,2,152.0,17,152.0,380.0,228.0,1.6666666666666667,133.0,0.29411764705882354,8.941176470588236,19.0,7
train,1,0,22406,22406,53560,63,7,381,6.0,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,63,7,381,6.0,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,64,7,311,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,64,7,311,6.25,4,16,2,-57.0,13,-57.0,152.0,209.0,0.7272727272727273,209.0,0.15384615384615385,-4.384615384615385,19.0,11
train,1,0,22406,22406,53560,65,7,381,6.75,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,65,7,381,6.75,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,66,7,596,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,66,7,596,6.25,4,16,2,266.0,21,266.0,532.0,266.0,2.0,76.0,0.3333333333333333,12.666666666666666,19.0,4
train,1,0,22406,22406,53560,67,7,311,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,67,7,311,6.25,4,16,2,-57.0,13,-57.0,152.0,209.0,0.7272727272727273,209.0,0.15384615384615385,-4.384615384615385,19.0,11
train,1,0,22406,22406,53560,68,7,311,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,68,7,311,6.25,4,16,2,-57.0,13,-57.0,152.0,209.0,0.7272727272727273,209.0,0.15384615384615385,-4.384615384615385,19.0,11
train,1,0,22406,22406,53560,69,7,365,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,69,7,365,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,70,7,355,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,70,7,355,6.25,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,71,7,342,6.75,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,71,7,342,6.75,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,72,7,381,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,72,7,381,6.25,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,73,7,355,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,73,7,355,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,74,7,381,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,74,7,381,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,75,7,355,6.0,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,75,7,355,6.0,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,76,7,369,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,76,7,369,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,77,7,355,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,77,7,355,6.25,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,78,7,355,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,78,7,355,6.25,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,79,7,369,7.0,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,79,7,369,7.0,4,16,2,19.0,9,19.0,152.0,133.0,1.1428571428571428,133.0,0.2222222222222222,2.111111111111111,19.0,7
train,1,0,22406,22406,53560,80,7,381,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,80,7,381,6.25,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,81,7,311,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,81,7,311,6.25,4,16,2,-57.0,13,-57.0,152.0,209.0,0.7272727272727273,209.0,0.15384615384615385,-4.384615384615385,19.0,11
