generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter,walk_forward_type,fitness_function,train_size,repetition
43,1,0,22406,22406,53560,1025.21412397606,947.1978017713976,1025.21412397606,6.92820323027551,220.1461691750598,1018.2859207457844,32,rolling,losing_streak_fitness,1_day,rep_1
44,1,0,22406,22406,53560,1025.21412397606,954.0870813624524,1025.21412397606,6.92820323027551,226.9489436136417,1018.2859207457844,33,rolling,losing_streak_fitness,1_day,rep_1
45,1,0,22406,22406,53560,1025.21412397606,926.2465725425128,1025.21412397606,44.15155716393251,241.83720665662565,981.0625668121274,34,rolling,losing_streak_fitness,1_day,rep_1
46,1,0,22406,22406,53560,1025.21412397606,956.7998625103552,1025.21412397606,6.92820323027551,200.4063465500465,1018.2859207457844,35,rolling,losing_streak_fitness,1_day,rep_1
47,1,0,22406,22406,53560,1025.21412397606,918.8062970796168,1025.21412397606,6.92820323027551,260.8812515706145,1018.2859207457844,36,rolling,losing_streak_fitness,1_day,rep_1
48,1,0,22406,22406,53560,1025.21412397606,941.7022117604488,1025.21412397606,6.92820323027551,249.6655572364296,1018.2859207457844,37,rolling,losing_streak_fitness,1_day,rep_1
49,1,0,22406,22406,53560,1025.21412397606,918.158269607768,1025.21412397606,15.839191898578663,262.6675085566918,1009.3749320774812,38,rolling,losing_streak_fitness,1_day,rep_1
50,1,0,22406,22406,53560,1025.21412397606,923.7121610779722,1025.21412397606,6.92820323027551,257.59619273540983,1018.2859207457844,39,rolling,losing_streak_fitness,1_day,rep_1
51,1,0,22406,22406,53560,1025.21412397606,947.5578579607296,1025.21412397606,6.92820323027551,211.3194898961536,1018.2859207457844,40,rolling,losing_streak_fitness,1_day,rep_1
52,1,0,22406,22406,53560,1025.21412397606,922.7671391140564,1025.21412397606,6.92820323027551,264.1049094645715,1018.2859207457844,41,rolling,losing_streak_fitness,1_day,rep_1
53,1,0,22406,22406,53560,1025.21412397606,929.2477689622802,1025.21412397606,15.839191898578663,261.514770723737,1009.3749320774812,42,rolling,losing_streak_fitness,1_day,rep_1
54,1,0,22406,22406,53560,1025.21412397606,947.1688651793258,1025.21412397606,44.15155716393251,226.9871812780419,981.0625668121274,43,rolling,losing_streak_fitness,1_day,rep_1
