dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition
test,1,0,53560,53560,86986,45,13,432,5.5,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,46,13,457,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,46,13,457,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,47,13,440,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,47,13,440,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,48,13,422,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,48,13,422,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,49,13,440,5.75,9,27,4,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,49,13,440,5.75,9,27,4,204.0,2,102.0,131.0,29.0,4.517241379310345,29.0,0.5,51.0,29.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,50,13,422,5.5,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,50,13,422,5.5,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,51,12,451,5.75,9,27,4,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,51,12,451,5.75,9,27,4,204.0,2,102.0,131.0,29.0,4.517241379310345,29.0,0.5,51.0,29.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,52,13,440,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,52,13,440,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,53,12,435,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,53,12,435,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,54,13,422,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,54,13,422,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,55,12,426,5.5,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,55,12,426,5.5,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,56,13,422,5.25,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,56,13,422,5.25,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,57,12,440,5.25,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,57,12,440,5.25,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,58,13,457,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,58,13,457,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,59,13,434,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,59,13,434,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,60,13,457,5.5,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,60,13,457,5.5,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,61,13,457,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,61,13,457,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,62,12,418,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,62,12,418,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,63,13,418,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,63,13,418,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,64,13,418,5.5,9,27,5,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,64,13,418,5.5,9,27,5,194.0,2,97.0,131.0,34.0,3.852941176470588,34.0,0.5,48.5,34.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,65,13,422,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,65,13,422,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,66,13,434,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,66,13,434,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,67,13,457,5.75,9,27,4,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,67,13,457,5.75,9,27,4,204.0,2,102.0,131.0,29.0,4.517241379310345,29.0,0.5,51.0,29.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,68,13,425,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,68,13,425,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,69,13,434,5.5,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,69,13,434,5.5,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
