window_id,train_start,train_end,test_start,test_end,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,raw_test_fitness,test_fitness,test_fitness_multiplier,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition
1,0,22406,22406,53560,8,1352,9.25,5,11,2,39.0,39.0,39.0,1.0,9,39.0,153.0,114.0,1.3421052631578947,76.0,0.3333333333333333,4.333333333333333,19.0,4,rolling,net_profit_fitness,1_day,rep_1
2,22406,53560,53560,86986,13,1195,5.25,9,27,23,7.0,7.0,7.0,1.0,2,7.0,131.0,124.0,1.0564516129032258,124.0,0.5,3.5,124.0,1,rolling,net_profit_fitness,1_day,rep_1
3,53560,86986,86986,125287,13,2275,4.5,9,23,27,-930.0,-930.0,-930.0,1.0,10,-930.0,222.0,1152.0,0.1927083333333333,1152.0,0.2,-93.0,144.0,8,rolling,net_profit_fitness,1_day,rep_1
4,86986,125287,125287,130699,11,1552,3.5,10,24,2,-1000.0,-1000.0,-1000.0,1.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,rolling,net_profit_fitness,1_day,rep_1
1,0,22406,22406,53560,8,2413,6.75,8,30,23,-620.0,-620.0,-620.0,1.0,5,-620.0,0.0,620.0,0.0,620.0,0.0,-124.0,124.0,5,rolling,net_profit_fitness,1_day,rep_2
2,22406,53560,53560,86986,7,643,7.25,4,19,2,-217.0,-217.0,-217.0,1.0,23,-217.0,182.0,399.0,0.4561403508771929,380.0,0.0869565217391304,-9.434782608695652,19.0,20,rolling,net_profit_fitness,1_day,rep_2
3,53560,86986,86986,125287,12,2096,3.75,5,27,2,222.0,222.0,222.0,1.0,12,222.0,393.0,171.0,2.298245614035088,114.0,0.25,18.5,19.0,6,rolling,net_profit_fitness,1_day,rep_2
4,86986,125287,125287,130699,7,2596,6.0,3,15,3,-72.0,-72.0,-72.0,1.0,3,-72.0,0.0,72.0,0.0,72.0,0.0,-24.0,24.0,3,rolling,net_profit_fitness,1_day,rep_2
1,0,22406,22406,53560,6,290,9.75,2,21,2,-361.0,-361.0,-361.0,1.0,19,-361.0,0.0,361.0,0.0,361.0,0.0,-19.0,19.0,19,rolling,net_profit_fitness,1_day,rep_3
2,22406,53560,53560,86986,7,2817,7.75,5,30,3,-286.0,-286.0,-286.0,1.0,19,-286.0,146.0,432.0,0.3379629629629629,408.0,0.0526315789473684,-15.052631578947368,24.0,17,rolling,net_profit_fitness,1_day,rep_3
3,53560,86986,86986,125287,10,334,4.5,8,25,24,-919.0,-919.0,-919.0,1.0,11,-919.0,242.0,1161.0,0.2084409991386735,919.0,0.1818181818181818,-83.54545454545455,129.0,4,rolling,net_profit_fitness,1_day,rep_3
4,86986,125287,125287,130699,11,3863,7.75,5,25,2,-1000.0,-1000.0,-1000.0,1.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,rolling,net_profit_fitness,1_day,rep_3
1,0,53560,53560,86986,8,462,8.75,8,27,8,262.0,131.0,262.0,2.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
2,22406,86986,86986,125287,13,915,4.5,5,23,2,140.0,70.0,140.0,2.0,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,rolling,net_profit_fitness,2_days,rep_1
3,53560,125287,125287,130699,12,2190,5.0,7,20,2,-2000.0,-1000.0,-2000.0,2.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
1,0,53560,53560,86986,14,1427,9.0,1,22,10,94.0,47.0,94.0,2.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,rolling,net_profit_fitness,2_days,rep_2
2,22406,86986,86986,125287,15,494,5.25,5,16,7,-200.0,-100.0,-200.0,2.0,5,-100.0,76.0,176.0,0.4318181818181818,176.0,0.2,-20.0,44.0,4,rolling,net_profit_fitness,2_days,rep_2
3,53560,125287,125287,130699,12,1429,3.5,8,25,2,-2000.0,-1000.0,-2000.0,2.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,rolling,net_profit_fitness,2_days,rep_2
1,0,53560,53560,86986,13,2777,8.5,8,27,4,262.0,131.0,262.0,2.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_3
2,22406,86986,86986,125287,12,518,4.5,8,27,2,-4.0,-2.0,-4.0,2.0,8,-2.0,131.0,133.0,0.9849624060150376,133.0,0.125,-0.25,19.0,7,rolling,net_profit_fitness,2_days,rep_3
3,53560,125287,125287,130699,12,2950,3.25,9,20,2,-2000.0,-1000.0,-2000.0,2.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,rolling,net_profit_fitness,2_days,rep_3
1,0,86986,86986,125287,12,482,3.75,6,27,2,330.0,110.0,330.0,3.0,10,110.0,262.0,152.0,1.7236842105263157,114.0,0.2,11.0,19.0,6,rolling,net_profit_fitness,3_days,rep_1
2,22406,125287,125287,130699,11,1372,9.25,5,13,2,-3000.0,-1000.0,-3000.0,3.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,rolling,net_profit_fitness,3_days,rep_1
1,0,86986,86986,125287,13,413,4.75,6,23,2,381.0,127.0,381.0,3.0,7,127.0,222.0,95.0,2.336842105263158,57.0,0.2857142857142857,18.142857142857142,19.0,3,rolling,net_profit_fitness,3_days,rep_2
2,22406,125287,125287,130699,12,1338,3.75,8,26,2,-3000.0,-1000.0,-3000.0,3.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,rolling,net_profit_fitness,3_days,rep_2
1,0,86986,86986,125287,14,3612,5.5,10,18,4,81.0,27.0,81.0,3.0,7,27.0,172.0,145.0,1.186206896551724,145.0,0.2857142857142857,3.857142857142857,29.0,5,rolling,net_profit_fitness,3_days,rep_3
2,22406,125287,125287,130699,12,1721,3.25,8,26,2,-3000.0,-1000.0,-3000.0,3.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,rolling,net_profit_fitness,3_days,rep_3
