generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter,walk_forward_type,fitness_function,train_size,repetition
92,1,0,86986,86986,125287,659.640053362438,651.2678291885452,659.640053362438,210.818510677892,52.32126002874259,448.8215426845461,82,rolling,losing_streak_fitness,3_days,rep_1
93,1,0,86986,86986,125287,659.640053362438,614.3492076726852,659.640053362438,-1000.0,237.57395665508463,1659.640053362438,83,rolling,losing_streak_fitness,3_days,rep_1
94,1,0,86986,86986,125287,659.640053362438,587.2979589448911,659.640053362438,-1000.0,292.8106697205336,1659.640053362438,84,rolling,losing_streak_fitness,3_days,rep_1
95,1,0,86986,86986,125287,659.640053362438,642.3728324355643,659.640053362438,-1000.0,165.970954464843,1659.640053362438,85,rolling,losing_streak_fitness,3_days,rep_1
96,1,0,86986,86986,125287,659.640053362438,581.300223269104,659.640053362438,-1000.0,328.381046259856,1659.640053362438,86,rolling,losing_streak_fitness,3_days,rep_1
97,1,0,86986,86986,125287,659.640053362438,582.0225515168237,659.640053362438,-1000.0,328.7955629997618,1659.640053362438,87,rolling,losing_streak_fitness,3_days,rep_1
98,1,0,86986,86986,125287,659.640053362438,613.5558472991472,659.640053362438,-1000.0,238.45879246118528,1659.640053362438,88,rolling,losing_streak_fitness,3_days,rep_1
99,1,0,86986,86986,125287,659.640053362438,581.623994693726,659.640053362438,-1000.0,328.2936582651025,1659.640053362438,89,rolling,losing_streak_fitness,3_days,rep_1
100,1,0,86986,86986,125287,659.640053362438,590.8151509454808,659.640053362438,-1000.0,326.4957304982797,1659.640053362438,90,rolling,losing_streak_fitness,3_days,rep_1
0,2,22406,125287,125287,130699,259.36005860579223,-18896.205469185355,-1394.1008657076632,-576090.4165118757,64531.60211207618,576349.7765704815,0,rolling,losing_streak_fitness,3_days,rep_1
1,2,22406,125287,125287,130699,592.0,-832.9958224445535,-366.97780246283776,-6884.901960086288,1372.638691216332,7476.901960086288,0,rolling,losing_streak_fitness,3_days,rep_1
2,2,22406,125287,125287,130699,616.5971131946695,-169.7594184047067,-19.315149142628904,-1685.2854357645176,456.0787773376839,2301.8825489591877,0,rolling,losing_streak_fitness,3_days,rep_1
3,2,22406,125287,125287,130699,668.0896272207794,89.84312160349165,119.25,-2159.183642027699,371.0835022871837,2827.2732692484788,0,rolling,losing_streak_fitness,3_days,rep_1
4,2,22406,125287,125287,130699,1060.5960588272992,253.91320334443265,248.20667691068564,-1043.55,236.8689586129264,2104.1460588272994,0,rolling,losing_streak_fitness,3_days,rep_1
5,2,22406,125287,125287,130699,1060.5960588272992,408.9146640640333,432.336048233493,-59.47570932742207,191.3052602959261,1120.0717681547212,1,rolling,losing_streak_fitness,3_days,rep_1
6,2,22406,125287,125287,130699,1060.5960588272992,472.9094878392474,492.5555806200962,-70.98778279480527,167.75325564137702,1131.5838416221045,2,rolling,losing_streak_fitness,3_days,rep_1
7,2,22406,125287,125287,130699,1087.5,520.5666705872471,492.5555806200962,47.09607202304668,190.02692116526967,1040.4039279769534,0,rolling,losing_streak_fitness,3_days,rep_1
8,2,22406,125287,125287,130699,1087.5,578.5112144537904,571.050129148046,116.91102386002784,212.37639540053036,970.588976139972,1,rolling,losing_streak_fitness,3_days,rep_1
9,2,22406,125287,125287,130699,1087.5,627.9905065932838,586.9983910634775,217.8553132241672,238.19097057475625,869.6446867758327,2,rolling,losing_streak_fitness,3_days,rep_1
10,2,22406,125287,125287,130699,1384.0,745.731043515074,698.5656733622116,124.45079348883236,274.5751374325465,1259.5492065111675,0,rolling,losing_streak_fitness,3_days,rep_1
11,2,22406,125287,125287,130699,1112.0683432235628,804.9491656208702,1031.4362559072665,248.8202162204671,290.7167466000198,863.2481270030958,1,rolling,losing_streak_fitness,3_days,rep_1
12,2,22406,125287,125287,130699,1112.0683432235628,958.3218948350124,1060.5960588272992,186.0,241.16345854345855,926.0683432235628,2,rolling,losing_streak_fitness,3_days,rep_1
13,2,22406,125287,125287,130699,1112.0683432235628,1014.425667829843,1087.5,234.27494530999252,211.31231140115145,877.7933979135703,3,rolling,losing_streak_fitness,3_days,rep_1
14,2,22406,125287,125287,130699,1112.0683432235628,1040.6964621887478,1087.5,355.0234734023465,164.48113945805702,757.0448698212163,4,rolling,losing_streak_fitness,3_days,rep_1
15,2,22406,125287,125287,130699,1112.0683432235628,1071.7575185872468,1112.0683432235628,422.1437196026965,121.7804238336806,689.9246236208663,5,rolling,losing_streak_fitness,3_days,rep_1
16,2,22406,125287,125287,130699,1112.0683432235628,1082.089119085654,1112.0683432235628,355.0234734023465,131.5538219851134,757.0448698212163,6,rolling,losing_streak_fitness,3_days,rep_1
17,2,22406,125287,125287,130699,1112.0683432235628,1066.5966094302871,1112.0683432235628,355.0234734023465,160.57892420770122,757.0448698212163,7,rolling,losing_streak_fitness,3_days,rep_1
18,2,22406,125287,125287,130699,1112.0683432235628,1071.2421323778697,1112.0683432235628,415.43346037602697,140.8419578343191,696.6348828475359,8,rolling,losing_streak_fitness,3_days,rep_1
19,2,22406,125287,125287,130699,1112.0683432235628,1094.3437232289186,1112.0683432235628,468.7496370368965,82.58781257680691,643.3187061866663,9,rolling,losing_streak_fitness,3_days,rep_1
20,2,22406,125287,125287,130699,1112.0683432235628,1053.81477426423,1112.0683432235628,412.7565868644618,179.3843841875183,699.311756359101,10,rolling,losing_streak_fitness,3_days,rep_1
21,2,22406,125287,125287,130699,1112.0683432235628,1062.5576471119236,1112.0683432235628,468.7496370368965,142.33660605088173,643.3187061866663,11,rolling,losing_streak_fitness,3_days,rep_1
22,2,22406,125287,125287,130699,1112.0683432235628,1055.0217270800297,1112.0683432235628,355.0234734023465,172.98544610828284,757.0448698212163,12,rolling,losing_streak_fitness,3_days,rep_1
23,2,22406,125287,125287,130699,1112.0683432235628,1081.282676097963,1112.0683432235628,355.0234734023465,137.24689819593974,757.0448698212163,13,rolling,losing_streak_fitness,3_days,rep_1
24,2,22406,125287,125287,130699,1112.0683432235628,1071.7326836909922,1112.0683432235628,412.7565868644618,139.93167594921428,699.311756359101,14,rolling,losing_streak_fitness,3_days,rep_1
