dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition
train,1,0,86986,86986,125287,63,13,1428,8.0,6,19,2,529.0897844411664,6,216.0,273.0,57.0,4.789473684210527,19.0,0.5,36.0,19.0,1,rolling,losing_streak_fitness,3_days,rep_3
test,1,0,86986,86986,125287,63,13,1428,8.0,6,19,2,96.16652224137049,8,68.0,182.0,114.0,1.5964912280701755,114.0,0.25,8.5,19.0,6,rolling,losing_streak_fitness,3_days,rep_3
train,1,0,86986,86986,125287,64,13,1225,8.0,6,19,2,529.0897844411664,6,216.0,273.0,57.0,4.789473684210527,19.0,0.5,36.0,19.0,1,rolling,losing_streak_fitness,3_days,rep_3
test,1,0,86986,86986,125287,64,13,1225,8.0,6,19,2,-127.455874717488,5,-95.0,0.0,95.0,0.0,95.0,0.0,-19.0,19.0,5,rolling,losing_streak_fitness,3_days,rep_3
train,1,0,86986,86986,125287,65,13,1225,8.75,6,19,2,529.0897844411664,6,216.0,273.0,57.0,4.789473684210527,19.0,0.5,36.0,19.0,1,rolling,losing_streak_fitness,3_days,rep_3
test,1,0,86986,86986,125287,65,13,1225,8.75,6,19,2,-127.455874717488,5,-95.0,0.0,95.0,0.0,95.0,0.0,-19.0,19.0,5,rolling,losing_streak_fitness,3_days,rep_3
train,1,0,86986,86986,125287,66,13,1310,8.0,6,19,2,529.0897844411664,6,216.0,273.0,57.0,4.789473684210527,19.0,0.5,36.0,19.0,1,rolling,losing_streak_fitness,3_days,rep_3
test,1,0,86986,86986,125287,66,13,1310,8.0,6,19,2,96.16652224137049,8,68.0,182.0,114.0,1.5964912280701755,114.0,0.25,8.5,19.0,6,rolling,losing_streak_fitness,3_days,rep_3
train,1,0,86986,86986,125287,67,13,3722,8.5,6,19,2,529.0897844411664,6,216.0,273.0,57.0,4.789473684210527,19.0,0.5,36.0,19.0,1,rolling,losing_streak_fitness,3_days,rep_3
test,1,0,86986,86986,125287,67,13,3722,8.5,6,19,2,96.16652224137049,8,68.0,182.0,114.0,1.5964912280701755,114.0,0.25,8.5,19.0,6,rolling,losing_streak_fitness,3_days,rep_3
train,1,0,86986,86986,125287,68,13,3722,8.5,6,19,2,529.0897844411664,6,216.0,273.0,57.0,4.789473684210527,19.0,0.5,36.0,19.0,1,rolling,losing_streak_fitness,3_days,rep_3
test,1,0,86986,86986,125287,68,13,3722,8.5,6,19,2,96.16652224137049,8,68.0,182.0,114.0,1.5964912280701755,114.0,0.25,8.5,19.0,6,rolling,losing_streak_fitness,3_days,rep_3
train,1,0,86986,86986,125287,69,13,3759,8.25,6,19,2,529.0897844411664,6,216.0,273.0,57.0,4.789473684210527,19.0,0.5,36.0,19.0,1,rolling,losing_streak_fitness,3_days,rep_3
test,1,0,86986,86986,125287,69,13,3759,8.25,6,19,2,96.16652224137049,8,68.0,182.0,114.0,1.5964912280701755,114.0,0.25,8.5,19.0,6,rolling,losing_streak_fitness,3_days,rep_3
train,1,0,86986,86986,125287,70,13,3759,8.25,6,19,2,529.0897844411664,6,216.0,273.0,57.0,4.789473684210527,19.0,0.5,36.0,19.0,1,rolling,losing_streak_fitness,3_days,rep_3
test,1,0,86986,86986,125287,70,13,3759,8.25,6,19,2,96.16652224137049,8,68.0,182.0,114.0,1.5964912280701755,114.0,0.25,8.5,19.0,6,rolling,losing_streak_fitness,3_days,rep_3
train,1,0,86986,86986,125287,71,13,3759,8.0,6,19,2,529.0897844411664,6,216.0,273.0,57.0,4.789473684210527,19.0,0.5,36.0,19.0,1,rolling,losing_streak_fitness,3_days,rep_3
test,1,0,86986,86986,125287,71,13,3759,8.0,6,19,2,96.16652224137049,8,68.0,182.0,114.0,1.5964912280701755,114.0,0.25,8.5,19.0,6,rolling,losing_streak_fitness,3_days,rep_3
train,1,0,86986,86986,125287,72,13,3722,8.25,6,19,2,529.0897844411664,6,216.0,273.0,57.0,4.789473684210527,19.0,0.5,36.0,19.0,1,rolling,losing_streak_fitness,3_days,rep_3
test,1,0,86986,86986,125287,72,13,3722,8.25,6,19,2,96.16652224137049,8,68.0,182.0,114.0,1.5964912280701755,114.0,0.25,8.5,19.0,6,rolling,losing_streak_fitness,3_days,rep_3
train,1,0,86986,86986,125287,73,13,1225,8.25,6,19,2,529.0897844411664,6,216.0,273.0,57.0,4.789473684210527,19.0,0.5,36.0,19.0,1,rolling,losing_streak_fitness,3_days,rep_3
test,1,0,86986,86986,125287,73,13,1225,8.25,6,19,2,-127.455874717488,5,-95.0,0.0,95.0,0.0,95.0,0.0,-19.0,19.0,5,rolling,losing_streak_fitness,3_days,rep_3
train,1,0,86986,86986,125287,74,13,3794,8.5,6,19,2,529.0897844411664,6,216.0,273.0,57.0,4.789473684210527,19.0,0.5,36.0,19.0,1,rolling,losing_streak_fitness,3_days,rep_3
test,1,0,86986,86986,125287,74,13,3794,8.5,6,19,2,96.16652224137049,8,68.0,182.0,114.0,1.5964912280701755,114.0,0.25,8.5,19.0,6,rolling,losing_streak_fitness,3_days,rep_3
train,1,0,86986,86986,125287,75,13,3684,8.5,6,19,2,529.0897844411664,6,216.0,273.0,57.0,4.789473684210527,19.0,0.5,36.0,19.0,1,rolling,losing_streak_fitness,3_days,rep_3
test,1,0,86986,86986,125287,75,13,3684,8.5,6,19,2,96.16652224137049,8,68.0,182.0,114.0,1.5964912280701755,114.0,0.25,8.5,19.0,6,rolling,losing_streak_fitness,3_days,rep_3
train,1,0,86986,86986,125287,76,13,3722,8.0,6,19,2,529.0897844411664,6,216.0,273.0,57.0,4.789473684210527,19.0,0.5,36.0,19.0,1,rolling,losing_streak_fitness,3_days,rep_3
